a_6198,b_587
a_9754,b_837
a_9948,b_562
a_7555,b_1315
a_1313,b_76
a_4026,b_1453
a_1365,b_1479
a_4502,b_355
a_2306,b_232
a_8249,b_837
a_3079,b_582
a_5950,b_768
a_676,b_1044
a_824,b_672
a_189,b_399
a_1496,b_419
a_6159,b_438
a_7627,b_1146
a_2000,b_1372
a_3400,b_1410
a_11777,b_1064
a_7703,b_1168
a_6240,b_343
a_9923,b_731
a_8546,b_1014
a_6604,b_547
a_6887,b_1373
a_8643,b_692
a_1015,b_459
a_4881,b_1172
a_4867,b_1183
a_6204,b_1313
a_8653,b_1256
a_5996,b_622
a_5211,b_1161
a_6739,b_1475
a_1534,b_673
a_3784,b_301
a_1168,b_815
a_6970,b_980
a_3755,b_665
a_11423,b_253
a_3325,b_802
a_6106,b_281
a_6238,b_553
a_10532,b_1305
a_10498,b_1379
a_10178,b_551
a_8381,b_1132
a_1851,b_1063
a_3998,b_1126
a_4959,b_1118
a_3035,b_1016
a_6913,b_281
a_11498,b_1136
a_4711,b_860
a_11912,b_153
a_11621,b_1170
a_5360,b_911
a_8339,b_69
a_8196,b_1003
a_9187,b_91
a_2513,b_1424
a_10188,b_138
a_2558,b_1048
a_3013,b_1159
a_1168,b_1319
a_8401,b_1285
a_210,b_507
a_4051,b_484
a_8302,b_21
a_4333,b_751
a_2823,b_1089
a_10579,b_1441
a_698,b_602
a_5030,b_1468
a_5341,b_979
a_8667,b_957
a_12134,b_16
a_27,b_455
a_4375,b_408
a_2301,b_733
a_5425,b_1352
a_6368,b_663
a_7236,b_834
a_7996,b_20
a_5711,b_1150
a_9877,b_271
a_1280,b_83
a_5366,b_399
a_5027,b_885
a_717,b_989
a_11046,b_1426
a_4524,b_103
a_11666,b_1458
a_5684,b_1337
a_10368,b_1217
a_8701,b_586
a_7962,b_82
a_8243,b_150
a_1163,b_451
a_8381,b_1352
a_2045,b_52
a_5133,b_988
a_1455,b_1528
a_5207,b_1354
a_11478,b_566
a_4600,b_430
a_2701,b_324
a_9249,b_573
a_483,b_971
a_4341,b_1253
a_667,b_1393
a_2219,b_1372
a_7849,b_52
a_8371,b_1297
a_11981,b_589
a_777,b_389
a_10241,b_1076
a_136,b_597
a_310,b_1455
a_3345,b_1148
a_8150,b_643
a_11277,b_80
a_10077,b_993
a_5204,b_1383
a_8787,b_281
a_1320,b_1000
a_5006,b_1274
a_4842,b_63
a_599,b_1169
a_2427,b_1176
a_11605,b_103
a_4072,b_1414
a_7710,b_345
a_5730,b_601
a_599,b_1265
a_4966,b_146
a_10082,b_89
a_3353,b_306
a_879,b_1061
a_8881,b_1493
a_7917,b_512
a_11822,b_475
a_11068,b_945
a_1000,b_163
a_2463,b_1359
a_2696,b_1545
a_6206,b_539
a_10248,b_281
a_5336,b_482
a_6338,b_1482
a_11766,b_252
a_6684,b_1343
a_4712,b_967
a_10644,b_270
a_4423,b_260
a_3361,b_1518
a_8220,b_76
a_6725,b_288
a_3602,b_1295
a_750,b_167
a_7289,b_33
a_732,b_346
a_1250,b_1057
a_3533,b_1189
a_9673,b_245
a_12166,b_1212
a_5241,b_814
a_5700,b_242
a_3720,b_286
a_7078,b_514
a_1001,b_1318
a_1231,b_603
a_5693,b_993
a_10114,b_669
a_5753,b_1397
a_11101,b_1271
a_1102,b_1517
a_3953,b_1035
a_8817,b_1166
a_3012,b_525
a_2319,b_535
a_6121,b_169
a_11854,b_1017
a_3096,b_647
a_4267,b_714
a_2630,b_1444
a_2804,b_477
a_11085,b_254
a_1372,b_48
a_10904,b_1533
a_12149,b_959
a_2140,b_1
a_507,b_124
a_4004,b_1125
a_1892,b_1430
a_1124,b_568
a_3488,b_529
a_3313,b_903
a_2234,b_198
a_5316,b_865
a_7198,b_1117
a_9903,b_773
a_1622,b_1413
a_2418,b_651
a_8356,b_819
a_7922,b_560
a_4233,b_1358
a_11674,b_642
a_9034,b_389
a_11592,b_638
a_3173,b_498
a_9058,b_1557
a_3929,b_1084
a_5279,b_777
a_9434,b_1013
a_325,b_44
a_11266,b_1147
a_10047,b_1039
a_3178,b_727
a_11131,b_908
a_4808,b_486
a_5851,b_75
a_1733,b_921
a_9817,b_387
a_9780,b_653
a_9830,b_821
a_7687,b_570
a_5000,b_1513
a_4436,b_1192
a_384,b_1092
a_8482,b_979
a_11146,b_1184
a_5172,b_1126
a_4651,b_901
a_9066,b_1253
a_1715,b_742
a_3033,b_1548
a_3392,b_722
a_8751,b_556
a_7703,b_1409
a_11951,b_1534
a_6217,b_618
a_6670,b_831
a_1266,b_411
a_9784,b_1540
a_11988,b_250
a_7495,b_1415
a_3524,b_587
a_3538,b_907
a_6245,b_1051
a_11686,b_272
a_8636,b_1526
a_3083,b_482
a_4058,b_891
a_10741,b_247
a_9762,b_548
a_3441,b_1283
a_3719,b_173
a_1416,b_1557
a_9506,b_1524
a_8011,b_458
a_8426,b_803
a_1557,b_206
a_10952,b_1380
a_8477,b_1151
a_5273,b_280
a_2145,b_1524
a_4648,b_1232
a_1626,b_809
a_8190,b_1052
a_11948,b_1037
a_2393,b_1008
a_1245,b_1337
a_9225,b_883
a_2369,b_1235
a_2161,b_603
a_8445,b_172
a_3916,b_1244
a_8116,b_1544
a_3787,b_658
a_8453,b_511
a_4015,b_1103
a_10857,b_1497
a_11471,b_957
a_728,b_51
a_5749,b_1030
a_8746,b_815
a_11433,b_170
a_3601,b_232
a_10636,b_120
a_11338,b_306
a_7285,b_584
a_7360,b_851
a_7046,b_867
a_7789,b_1545
a_7707,b_230
a_1104,b_302
a_8259,b_1343
a_9762,b_1171
a_11027,b_1444
a_12179,b_715
a_11244,b_232
a_10771,b_107
a_12119,b_823
a_8507,b_1528
a_3666,b_853
a_11124,b_592
a_10967,b_201
a_7752,b_1132
a_4450,b_1056
a_11445,b_1020
a_8382,b_458
a_3333,b_1141
a_6226,b_717
a_7073,b_930
a_3696,b_1437
a_3596,b_1550
a_3857,b_1399
a_5408,b_1501
a_8090,b_438
a_1091,b_1258
a_12093,b_365
a_1913,b_413
a_12169,b_1177
a_9337,b_205
a_765,b_1274
a_5830,b_1142
a_6272,b_418
a_1109,b_1214
a_3659,b_1220
a_2143,b_984
a_11638,b_360
a_6913,b_74
a_509,b_1278
a_3199,b_1012
a_6195,b_745
a_4062,b_1003
a_132,b_654
