b_1375,c_22836
b_315,c_15973
b_776,c_21517
b_528,c_19668
b_23,c_18764
b_559,c_28873
b_466,c_19686
b_909,c_24589
b_50,c_4513
b_811,c_17670
b_70,c_14091
b_1127,c_19640
b_575,c_1829
b_1168,c_29409
b_1298,c_18989
b_1130,c_11782
b_450,c_3469
b_746,c_1239
b_1080,c_10948
b_696,c_18934
b_1492,c_19783
b_885,c_17891
b_1427,c_30325
b_772,c_8766
b_540,c_2728
b_1515,c_18077
b_758,c_23167
b_1032,c_451
b_1404,c_18417
b_349,c_15121
b_1088,c_22809
b_1120,c_2827
b_736,c_24542
b_628,c_26949
b_1150,c_12626
b_420,c_14808
b_493,c_6356
b_1402,c_24670
b_977,c_18064
b_661,c_8828
b_539,c_31190
b_107,c_23806
b_651,c_21119
b_1432,c_611
b_176,c_10963
b_1358,c_5032
b_1255,c_24685
b_276,c_8224
b_368,c_5498
b_1211,c_17243
b_1063,c_16388
b_490,c_28857
b_809,c_24122
b_688,c_7307
b_944,c_16901
b_334,c_30030
b_845,c_2447
b_901,c_26435
b_1085,c_6385
b_329,c_28395
b_1454,c_21454
b_275,c_8373
b_1197,c_25642
b_1127,c_15438
b_37,c_24959
b_1132,c_27566
b_156,c_3968
b_523,c_20144
b_1517,c_28488
b_921,c_709
b_285,c_6018
b_750,c_22072
b_248,c_29434
b_1230,c_10858
b_1045,c_27253
b_724,c_833
b_159,c_19445
b_199,c_17409
b_1025,c_8377
b_1159,c_1008
b_62,c_26423
b_77,c_792
b_1173,c_17893
b_25,c_11101
b_419,c_30215
b_67,c_23331
b_532,c_2991
b_999,c_25077
b_1338,c_25302
b_1316,c_21102
b_1558,c_10793
b_86,c_23852
b_1503,c_26277
b_166,c_470
b_626,c_31055
b_792,c_30235
b_741,c_28572
b_1348,c_20444
b_592,c_21799
b_32,c_27673
b_307,c_22003
b_505,c_1786
b_637,c_18828
b_1411,c_26360
b_381,c_11238
b_634,c_10906
b_173,c_14523
b_805,c_16311
b_1158,c_17390
b_1045,c_4763
b_46,c_4235
b_464,c_26653
b_469,c_20296
b_954,c_25177
b_435,c_22698
b_1145,c_2459
b_1326,c_3992
b_619,c_15101
b_1104,c_12445
b_517,c_13328
b_1413,c_22583
b_909,c_7132
b_1458,c_13304
b_68,c_20410
b_885,c_721
b_952,c_4345
b_500,c_9843
b_501,c_30734
b_1361,c_20071
b_931,c_935
b_307,c_7977
b_917,c_29315
b_1325,c_1442
b_868,c_1320
b_688,c_28100
b_898,c_10381
b_41,c_19189
b_323,c_29881
b_836,c_14844
b_611,c_25189
b_857,c_16821
b_1140,c_4649
b_1299,c_22128
b_124,c_15697
b_1535,c_2210
b_299,c_28807
b_650,c_20793
b_1285,c_26418
b_1043,c_7180
b_1446,c_10622
b_248,c_1186
b_509,c_4600
b_548,c_5202
b_397,c_11084
b_784,c_26514
b_1193,c_16877
b_917,c_21984
b_779,c_16042
b_1261,c_23708
b_128,c_31348
b_515,c_9877
b_976,c_22537
b_1410,c_11262
b_655,c_24039
b_1290,c_12858
b_388,c_2174
b_162,c_8109
b_1363,c_16832
b_974,c_1107
b_683,c_4408
b_567,c_23974
b_1327,c_5515
b_1539,c_25712
b_522,c_28482
b_237,c_27822
b_268,c_31139
b_536,c_24532
b_683,c_22168
b_439,c_1848
b_1388,c_23021
b_1431,c_23697
b_242,c_4819
b_1345,c_8392
b_126,c_10940
b_2,c_5489
b_1072,c_14034
b_1440,c_22147
b_121,c_26985
b_746,c_30713
b_75,c_24840
b_420,c_1767
b_282,c_25135
b_1002,c_25652
b_162,c_4840
b_302,c_16523
b_472,c_19744
b_307,c_21069
b_759,c_11450
b_915,c_21648
b_1488,c_11613
b_907,c_629
b_194,c_17649
b_279,c_28230
b_1497,c_29946
b_260,c_9382
b_1042,c_7706
b_837,c_16616
b_261,c_23348
b_1290,c_22202
b_304,c_14604
b_495,c_1649
b_488,c_21542
b_135,c_25055
b_863,c_17326
b_1387,c_25785
b_1018,c_27565
b_1308,c_31250
b_1133,c_19390
b_1330,c_14423
b_1179,c_23679
b_721,c_19371
b_497,c_24823
b_1369,c_7589
b_450,c_23513
b_1056,c_21207
b_1229,c_26761
b_654,c_10644
b_1244,c_16462
b_1321,c_21625
b_253,c_12742
b_116,c_15256
b_1200,c_2034
b_366,c_16608
b_941,c_10288
b_618,c_12389
b_77,c_29459
b_677,c_9640
b_763,c_26614
b_1283,c_22627
b_944,c_5150
b_1269,c_31036
b_772,c_8086
b_1105,c_7000
b_1142,c_17208
b_140,c_15873
b_326,c_9546
b_249,c_24274
b_846,c_17771
b_126,c_1123
b_280,c_23340
b_1070,c_28128
b_39,c_4813
b_1169,c_12520
b_641,c_15494
b_112,c_1679
b_783,c_9388
b_816,c_4898
b_1217,c_12616
b_378,c_426
b_220,c_16315
b_1123,c_12083
b_836,c_8034
b_1497,c_19770
b_357,c_13290
b_472,c_14555
b_1483,c_3631
b_757,c_5767
b_1074,c_26010
b_893,c_8301
b_532,c_1013
b_422,c_17366
b_1011,c_1069
b_939,c_4732
b_1301,c_17857
b_594,c_25622
b_1547,c_16922
b_731,c_1321
b_1033,c_6144
b_1179,c_11943
b_1377,c_15668
b_1121,c_14732
b_1391,c_15216
b_816,c_19451
b_455,c_20701
b_1366,c_22182
b_1210,c_29425
b_376,c_613
b_754,c_24665
b_290,c_19433
b_1468,c_9969
b_792,c_11868
b_1244,c_6019
b_302,c_19138
b_838,c_22106
b_906,c_12596
b_1202,c_12631
b_743,c_30933
b_969,c_2531
b_1129,c_27678
b_364,c_13083
b_1361,c_21911
b_1305,c_15452
b_1424,c_20505
b_145,c_26824
b_454,c_20035
b_178,c_17083
b_690,c_12906
b_293,c_8161
b_1421,c_11177
b_493,c_3316
b_474,c_13443
b_924,c_16054
b_1198,c_7610
b_1483,c_15808
b_563,c_14349
b_195,c_16604
b_271,c_3597
b_467,c_30727
b_684,c_23497
b_236,c_9808
b_1516,c_15938
b_331,c_15348
b_900,c_13240
b_500,c_27228
b_984,c_16059
b_217,c_19010
b_973,c_24409
b_1473,c_30144
b_540,c_10311
b_1240,c_1636
b_87,c_7708
b_514,c_20801
b_797,c_29586
b_194,c_9854
b_998,c_2527
b_1267,c_2382
b_159,c_21774
b_1507,c_23362
b_1048,c_11013
b_161,c_10126
b_180,c_25054
b_1086,c_7497
b_150,c_1753
b_828,c_23842
b_485,c_15707
b_668,c_28501
b_1558,c_2477
b_953,c_28037
b_1354,c_14305
b_842,c_9084
b_1218,c_10305
b_1213,c_20897
b_533,c_3325
b_735,c_7577
b_1497,c_22673
b_1002,c_7371
b_1154,c_22470
b_607,c_23018
b_16,c_18714
b_1369,c_8176
b_879,c_30494
b_69,c_26869
b_684,c_8978
b_1356,c_4919
b_1232,c_9165
b_678,c_22874
b_1360,c_14345
b_1052,c_21547
b_332,c_3046
b_1324,c_1600
b_378,c_7480
b_1031,c_8674
b_1375,c_6140
b_110,c_26251
b_1152,c_8472
b_553,c_17842
b_94,c_28710
b_631,c_2885
b_1060,c_24955
b_372,c_27809
b_114,c_15542
b_763,c_25692
b_960,c_9484
b_629,c_15081
b_826,c_16396
b_1537,c_13496
b_129,c_14064
b_674,c_27677
b_865,c_5782
b_58,c_16779
b_1438,c_22830
b_1343,c_9797
b_228,c_20128
b_214,c_15938
b_181,c_11968
b_691,c_7837
b_1076,c_7492
b_15,c_21335
b_294,c_13223
b_1035,c_3047
b_439,c_11226
b_916,c_22923
b_1098,c_2910
b_1116,c_7476
b_34,c_8386
b_368,c_23489
b_268,c_18190
b_450,c_12008
b_1067,c_4663
b_44,c_5872
b_1507,c_9685
b_131,c_20534
b_123,c_26816
b_20,c_26055
b_1522,c_11312
b_1092,c_12151
b_750,c_20194
b_763,c_11033
b_6,c_14612
b_1369,c_12327
b_32,c_30664
b_560,c_14183
b_1235,c_29152
b_1471,c_21602
b_1556,c_23329
b_366,c_16747
b_101,c_11845
b_115,c_13221
b_1013,c_270
b_1111,c_2449
b_55,c_15842
b_298,c_2956
b_1130,c_14173
b_58,c_5816
b_1029,c_3436
b_479,c_27612
b_1055,c_22450
b_98,c_21527
b_678,c_10286
b_219,c_13660
b_755,c_13915
b_615,c_13016
b_1298,c_8530
b_1411,c_17079
b_1533,c_15358
b_221,c_28187
b_673,c_19663
b_1263,c_8647
b_929,c_11109
b_1083,c_15246
b_257,c_13855
b_1070,c_17428
b_836,c_16280
b_932,c_29671
b_1005,c_24362
b_565,c_27289
b_648,c_16454
b_152,c_17286
b_1186,c_9377
b_517,c_14144
b_1428,c_18260
b_1168,c_8058
b_1050,c_29397
b_1555,c_30568
b_1528,c_6521
b_299,c_7775
b_515,c_9255
b_761,c_17283
b_1271,c_9
b_1259,c_11432
b_685,c_19330
b_667,c_20928
b_1091,c_21430
b_920,c_7172
b_990,c_30716
b_337,c_4532
b_485,c_1811
b_239,c_159
b_1434,c_26224
b_1240,c_1474
b_52,c_19589
b_229,c_1496
b_115,c_7228
b_710,c_13014
b_847,c_7167
b_1205,c_30792
b_1040,c_155
b_352,c_10378
b_1118,c_20247
b_938,c_6932
b_1423,c_5464
b_771,c_18894
b_351,c_93
b_76,c_14819
b_853,c_1473
b_789,c_12684
b_26,c_15658
b_174,c_21005
b_306,c_5382
b_433,c_5756
b_1406,c_22258
b_91,c_31047
b_1431,c_1900
b_294,c_17269
b_346,c_6666
b_1203,c_9774
b_174,c_4388
b_1274,c_5957
b_49,c_25544
b_940,c_4710
b_10,c_1825
b_936,c_19504
b_282,c_29256
b_351,c_4811
b_570,c_14763
b_527,c_15113
b_574,c_4465
b_1177,c_30420
b_811,c_28708
b_1200,c_20348
b_816,c_18181
b_71,c_26964
b_373,c_6450
b_1059,c_2615
b_10,c_18982
b_608,c_11517
b_1148,c_8028
b_898,c_1954
b_1063,c_15690
b_1404,c_1284
b_673,c_25053
b_924,c_30583
b_1051,c_7051
b_822,c_1154
b_1225,c_3753
b_1235,c_24123
b_626,c_12335
b_423,c_27103
b_1225,c_29342
b_155,c_13329
b_62,c_11704
b_596,c_23366
b_1426,c_15885
b_44,c_22120
b_579,c_8160
b_816,c_11346
b_814,c_5062
b_1128,c_30846
b_1186,c_9026
b_275,c_21139
b_1088,c_23957
b_59,c_31238
b_979,c_28473
b_1338,c_18883
b_619,c_27210
b_159,c_22105
b_1053,c_18570
b_1470,c_3747
b_432,c_6882
b_446,c_14438
b_240,c_22046
b_233,c_21214
b_39,c_15456
b_107,c_28466
b_710,c_11846
b_383,c_7562
