a_10862,b_648
a_3603,b_681
a_1124,b_1328
a_2595,b_142
a_10556,b_1196
a_2663,b_1185
a_10731,b_577
a_3169,b_630
a_6577,b_1161
a_7849,b_1408
a_10354,b_29
a_715,b_3
a_5580,b_424
a_9616,b_140
a_6512,b_421
a_3272,b_882
a_11351,b_476
a_9918,b_1026
a_7947,b_353
a_11864,b_1062
a_529,b_288
a_8360,b_405
a_7678,b_207
a_7934,b_1122
a_5525,b_692
a_1450,b_717
a_10334,b_1517
a_7625,b_419
a_3091,b_923
a_3342,b_1277
a_11315,b_92
a_567,b_124
a_3171,b_1533
a_2465,b_736
a_5431,b_209
a_4054,b_1010
a_2567,b_1258
a_10760,b_1055
a_1887,b_27
a_7836,b_794
a_6309,b_1465
a_818,b_1336
a_7209,b_213
a_5121,b_246
a_10796,b_435
a_3802,b_291
a_11945,b_598
a_11705,b_1118
a_1296,b_882
a_766,b_1429
a_9170,b_1409
a_2732,b_743
a_12008,b_443
a_1019,b_1325
a_9093,b_313
a_1779,b_1478
a_3267,b_526
a_3392,b_80
a_7023,b_954
a_9612,b_624
a_4349,b_1018
a_6857,b_1317
a_4440,b_349
a_4486,b_776
a_10336,b_1114
a_5710,b_1463
a_10606,b_1478
a_295,b_1211
a_11003,b_273
a_4686,b_1353
a_7946,b_601
a_10143,b_403
a_8638,b_1058
a_2460,b_961
a_5973,b_573
a_1537,b_305
a_8752,b_1312
a_6602,b_435
a_6683,b_173
a_1435,b_294
a_11386,b_942
a_9774,b_611
a_12176,b_1116
a_4895,b_1532
a_9800,b_176
a_1392,b_236
a_6784,b_902
a_8677,b_851
a_10408,b_1145
a_943,b_393
a_11935,b_535
a_12040,b_1192
a_7969,b_233
a_7017,b_410
a_11403,b_1381
a_11203,b_1346
a_279,b_1493
a_10401,b_638
a_6165,b_1232
a_11235,b_438
a_5988,b_93
a_7483,b_1267
a_8338,b_464
a_5703,b_1094
a_3748,b_1400
a_2473,b_734
a_1324,b_183
a_9857,b_1112
a_10112,b_302
a_10066,b_1057
a_10141,b_1188
a_11176,b_645
a_1608,b_1133
a_8444,b_34
a_12006,b_1244
a_6820,b_558
a_10001,b_686
a_7720,b_413
a_7569,b_1481
a_5680,b_911
a_9535,b_813
a_2597,b_545
a_1597,b_804
a_3778,b_529
a_12080,b_1042
a_11807,b_430
a_3648,b_370
a_3342,b_1389
a_10367,b_1413
a_3798,b_588
a_6415,b_1368
a_9219,b_1438
a_10504,b_1229
a_11295,b_578
a_9898,b_1377
a_8090,b_705
a_11986,b_178
a_875,b_434
a_7585,b_693
a_3274,b_865
a_5847,b_724
a_3344,b_1413
a_11534,b_603
a_12027,b_1172
a_6983,b_1489
a_9624,b_1198
a_11336,b_145
a_11035,b_916
a_6575,b_691
a_4061,b_616
a_115,b_266
a_5897,b_375
a_3900,b_487
a_4705,b_1078
a_9947,b_503
a_1658,b_1150
a_3731,b_1304
a_5430,b_777
a_7748,b_1474
a_7289,b_334
a_6466,b_86
a_4946,b_1178
a_5839,b_845
a_797,b_1137
a_2811,b_588
a_11199,b_1296
a_10094,b_132
a_263,b_61
a_2409,b_936
a_5886,b_293
a_11588,b_1510
a_2271,b_1527
a_9943,b_334
a_7014,b_706
a_11311,b_663
a_3825,b_1463
a_675,b_1080
a_5684,b_230
a_410,b_712
a_118,b_755
a_12129,b_1104
a_4728,b_1537
a_9610,b_1419
a_4017,b_1269
a_8161,b_467
a_483,b_1246
a_8839,b_1287
a_7966,b_475
a_5167,b_716
a_10877,b_606
a_2964,b_291
a_9236,b_1382
a_6413,b_6
a_367,b_1498
a_10353,b_232
a_2654,b_1446
a_6975,b_1204
a_11463,b_432
a_2715,b_750
a_8370,b_1430
a_12001,b_66
a_3557,b_459
a_7655,b_530
a_7094,b_477
a_5606,b_652
a_6096,b_297
a_6708,b_1267
a_9517,b_965
a_11832,b_353
a_5730,b_996
a_8618,b_1231
a_1311,b_1307
a_1129,b_1266
a_6291,b_926
a_794,b_241
a_10417,b_1400
a_1377,b_671
a_11132,b_46
a_5282,b_485
a_9023,b_536
a_7446,b_824
a_6864,b_556
a_4466,b_889
a_1291,b_164
a_8333,b_525
a_1898,b_1432
a_12136,b_1346
a_6440,b_938
a_2318,b_450
a_4878,b_518
a_10930,b_1272
a_7483,b_765
a_4115,b_315
a_8144,b_749
a_3751,b_277
a_9269,b_1267
a_8419,b_516
a_11611,b_634
a_2478,b_712
a_2393,b_1049
a_7324,b_413
a_10416,b_1436
a_1715,b_453
a_8653,b_671
a_4904,b_1321
a_10029,b_178
a_6163,b_66
a_4884,b_1347
a_4570,b_24
a_9194,b_651
a_11332,b_1526
a_745,b_738
a_11674,b_1223
a_1101,b_1463
a_9817,b_889
a_7721,b_1050
a_7242,b_225
a_7831,b_850
a_1110,b_40
a_8868,b_793
a_8000,b_392
a_7009,b_683
a_9382,b_128
a_2810,b_907
a_3450,b_747
a_10106,b_532
a_3051,b_830
a_5592,b_1182
a_2911,b_1125
a_6916,b_1067
a_6379,b_615
a_3932,b_1137
a_3832,b_1446
a_11716,b_1184
a_7657,b_1258
a_17,b_299
a_6577,b_1457
a_8651,b_243
a_4959,b_1301
a_5794,b_1429
a_3064,b_749
a_643,b_948
a_11397,b_1122
a_4880,b_598
a_983,b_57
a_3965,b_493
a_7784,b_235
a_1066,b_465
a_8986,b_1107
a_3855,b_283
a_3678,b_34
a_10739,b_279
a_3164,b_1034
a_3102,b_419
a_11863,b_347
a_8146,b_1232
a_3490,b_288
a_10724,b_431
a_6126,b_1372
a_2153,b_1112
a_10572,b_1398
a_4378,b_1327
a_9708,b_766
a_411,b_309
a_8449,b_856
a_5611,b_686
a_7540,b_343
a_4520,b_106
a_276,b_1354
a_6888,b_33
a_4129,b_307
a_2599,b_463
a_11847,b_437
a_6035,b_1029
a_2670,b_565
a_11394,b_442
a_4661,b_1517
a_8317,b_1093
a_85,b_811
a_7314,b_1425
a_6232,b_675
a_1131,b_1504
a_11098,b_904
a_7608,b_92
a_4819,b_1129
a_7460,b_846
a_568,b_1323
a_10758,b_687
a_3430,b_1027
a_12142,b_1463
a_4231,b_1248
a_10098,b_61
a_6943,b_1052
a_2904,b_649
a_11239,b_893
a_2438,b_1457
a_4458,b_694
a_11220,b_203
a_10353,b_1123
a_6825,b_953
a_8103,b_1536
a_10528,b_1113
a_6888,b_165
a_3724,b_205
a_4326,b_1247
a_10594,b_846
a_9429,b_10
a_7952,b_800
a_3683,b_1466
a_7822,b_178
a_4147,b_888
a_1523,b_1359
a_3900,b_1518
a_5523,b_207
a_2072,b_633
a_11504,b_1416
a_9113,b_614
a_1996,b_479
a_1540,b_433
a_9526,b_201
a_2305,b_127
a_8276,b_158
a_4175,b_1119
a_2780,b_1459
a_8754,b_1199
a_7327,b_216
a_5869,b_913
a_9468,b_1272
a_5582,b_1228
a_6321,b_33
a_5988,b_57
a_8075,b_558
a_4906,b_1351
a_11836,b_634
a_3979,b_847
a_8870,b_1439
a_3041,b_1137
a_5455,b_566
a_10809,b_762
a_485,b_260
a_8636,b_1099
a_6099,b_554
a_10931,b_1470
a_12148,b_1389
a_395,b_34
a_10791,b_1445
a_7681,b_122
a_4781,b_491
a_2194,b_878
a_2607,b_1185
a_11366,b_1300
a_9508,b_1281
a_7705,b_709
a_926,b_863
a_9312,b_1293
a_5520,b_1141
a_8789,b_873
a_9309,b_552
a_9209,b_83
a_8837,b_987
a_10154,b_758
a_7247,b_1400
a_7978,b_497
a_4471,b_1490
a_3885,b_744
a_8472,b_1287
a_5121,b_802
a_1301,b_1092
a_12149,b_1103
a_4049,b_249
a_8882,b_1371
a_8503,b_136
a_312,b_1404
a_3219,b_1173
a_3635,b_387
a_7271,b_367
a_7168,b_112
a_7467,b_718
a_6478,b_771
a_2569,b_1533
a_6633,b_751
a_9057,b_1362
a_7142,b_21
a_1242,b_133
a_5572,b_205
a_7550,b_1536
a_10459,b_1315
a_3085,b_853
a_9176,b_712
a_8217,b_1314
a_8477,b_405
a_9891,b_1001
a_1315,b_275
a_6801,b_323
a_7606,b_147
a_5144,b_1452
a_4430,b_1335
a_7901,b_1225
a_2713,b_651
a_8400,b_7
a_7922,b_1433
a_6655,b_1544
a_850,b_732
a_11910,b_773
a_6842,b_1149
a_8035,b_525
a_8569,b_1073
a_4843,b_255
