a_231,b_356
a_10289,b_43
a_11924,b_115
a_6294,b_574
a_1430,b_254
a_8180,b_765
a_4601,b_11
a_1389,b_146
a_63,b_43
a_11468,b_962
a_7395,b_674
a_4983,b_441
a_10883,b_1398
a_3930,b_1447
a_7862,b_1176
a_8342,b_438
a_2815,b_274
a_10145,b_449
a_1560,b_1414
a_2726,b_1309
a_6876,b_837
a_310,b_244
a_3224,b_344
a_3209,b_1424
a_6865,b_999
a_5207,b_792
a_6262,b_583
a_10511,b_152
a_5358,b_171
a_1647,b_170
a_4152,b_180
a_8503,b_91
a_1804,b_1104
a_7272,b_850
a_9772,b_877
a_3707,b_713
a_10842,b_941
a_11265,b_327
a_5954,b_437
a_1827,b_842
a_8972,b_1419
a_2762,b_441
a_5372,b_893
a_5649,b_946
a_11452,b_624
a_4566,b_1387
a_5243,b_86
a_4489,b_640
a_7666,b_1397
a_2892,b_358
a_11779,b_497
a_11984,b_329
a_133,b_1524
a_9437,b_685
a_2902,b_244
a_10354,b_285
a_3121,b_1199
a_5087,b_676
a_2859,b_1044
a_7920,b_958
a_5764,b_1503
a_2355,b_141
a_5402,b_1370
a_6457,b_145
a_8521,b_1012
a_5803,b_30
a_8067,b_738
a_9757,b_31
a_8178,b_45
a_10809,b_1433
a_10919,b_182
a_7056,b_492
a_5905,b_1466
a_11931,b_13
a_1340,b_1035
a_8485,b_1147
a_7796,b_835
a_2877,b_867
a_1090,b_475
a_9485,b_1135
a_9741,b_1412
a_10571,b_790
a_7908,b_247
a_5112,b_604
a_3382,b_252
a_3514,b_862
a_4956,b_1304
a_2629,b_935
a_10241,b_14
a_280,b_1270
a_1219,b_345
a_8854,b_237
a_7787,b_648
a_10490,b_759
a_7008,b_1439
a_1997,b_1237
a_2500,b_196
a_1225,b_1555
a_3959,b_36
a_9731,b_1409
a_1017,b_1301
a_4063,b_662
a_4944,b_511
a_7929,b_1253
a_4000,b_1329
a_4434,b_976
a_6977,b_1147
a_10937,b_681
a_12107,b_999
a_10768,b_1237
a_7489,b_1442
a_894,b_1042
a_8833,b_1464
a_7326,b_1542
a_1531,b_95
a_927,b_822
a_565,b_1191
a_6611,b_170
a_11982,b_98
a_1609,b_1283
a_811,b_159
a_6532,b_683
a_8539,b_974
a_5624,b_1312
a_10681,b_1123
a_8453,b_930
a_3755,b_1457
a_6648,b_128
a_2114,b_233
a_3324,b_595
a_1070,b_1025
a_10456,b_924
a_8128,b_785
a_761,b_1499
a_2285,b_651
a_4555,b_64
a_4136,b_1454
a_3181,b_230
a_11389,b_1311
a_1489,b_951
a_7999,b_853
a_7122,b_1459
a_3260,b_1134
a_495,b_151
a_6674,b_247
a_10141,b_314
a_2368,b_287
a_5233,b_433
a_6322,b_1128
a_608,b_148
a_6093,b_446
a_3146,b_1488
a_9171,b_314
a_4289,b_410
a_2698,b_349
a_9571,b_29
a_11557,b_953
a_3460,b_1189
a_10413,b_1511
a_7558,b_912
a_2586,b_1532
a_10044,b_1552
a_6786,b_863
a_1344,b_987
a_6629,b_1477
a_11739,b_888
a_9286,b_228
a_8369,b_1428
a_11692,b_1504
a_8616,b_1362
a_11207,b_1277
a_3312,b_973
a_2970,b_1404
a_11883,b_165
a_6112,b_1503
a_12153,b_715
a_1255,b_256
a_9793,b_202
a_4574,b_1157
a_2715,b_1134
a_2113,b_235
a_3126,b_1115
a_4789,b_341
a_8685,b_205
a_3333,b_241
a_6311,b_41
a_4814,b_1376
a_6425,b_44
a_6842,b_716
a_10815,b_375
a_701,b_174
a_176,b_433
a_2846,b_1381
a_510,b_178
a_5848,b_1101
a_6956,b_1259
a_6472,b_1374
a_7266,b_1495
a_9318,b_1158
a_8971,b_1469
a_7588,b_1474
a_5616,b_199
a_4060,b_350
a_9512,b_411
a_7058,b_1290
a_8140,b_1109
a_3726,b_988
a_3918,b_438
a_9990,b_989
a_7426,b_1393
a_18,b_862
a_11174,b_722
a_11998,b_694
a_1810,b_76
a_1693,b_253
a_5428,b_603
a_9339,b_720
a_8675,b_419
a_11203,b_297
a_10715,b_1118
a_4953,b_788
a_11184,b_1245
a_9727,b_339
a_6773,b_1538
a_3244,b_870
a_5511,b_1261
a_5920,b_495
a_6838,b_1270
a_2540,b_1402
a_7388,b_1464
a_1088,b_1171
a_9187,b_1523
a_5329,b_740
a_6484,b_440
a_2910,b_416
a_472,b_1219
a_2175,b_1266
a_10657,b_825
a_6631,b_1121
a_9207,b_160
a_1189,b_507
a_9267,b_1305
a_1115,b_221
a_205,b_1451
a_6571,b_612
a_10378,b_120
a_3211,b_49
a_10743,b_875
a_323,b_1230
a_3245,b_985
a_9251,b_184
a_4053,b_1481
a_8977,b_724
a_8070,b_185
a_2062,b_1512
a_233,b_999
a_9250,b_1036
a_9735,b_1212
a_5497,b_40
a_10102,b_1407
a_6367,b_552
a_6889,b_220
a_1974,b_922
a_7990,b_396
a_3672,b_127
a_4718,b_940
a_816,b_673
a_6436,b_75
a_1266,b_921
a_7491,b_1282
a_11238,b_55
a_9052,b_590
a_10280,b_736
a_9149,b_579
a_8,b_1400
a_465,b_388
a_2731,b_222
a_8478,b_132
a_7677,b_405
a_6427,b_995
a_7431,b_733
a_8880,b_1195
a_9930,b_982
a_5971,b_1431
a_3863,b_1338
a_10344,b_893
a_1951,b_2
a_1648,b_975
a_3169,b_1522
a_9202,b_1477
a_8683,b_599
a_2604,b_1099
a_10796,b_326
a_10201,b_811
a_10444,b_1010
a_9196,b_1541
a_11597,b_243
a_2493,b_991
a_9104,b_1223
a_7213,b_1263
a_10921,b_897
a_2747,b_1213
a_5909,b_1524
a_12073,b_1408
a_11563,b_553
a_8585,b_211
a_1442,b_856
a_6266,b_367
a_4094,b_1244
a_5608,b_1423
a_3607,b_100
a_10870,b_478
a_4564,b_232
a_11575,b_336
a_10584,b_1245
a_7328,b_1189
a_6840,b_213
a_10316,b_1105
a_5774,b_1252
a_68,b_648
a_5478,b_442
a_7129,b_1165
a_8108,b_1037
a_3064,b_1099
a_4146,b_1389
a_10076,b_324
a_11525,b_201
a_4257,b_1004
a_8120,b_904
a_4806,b_135
a_12109,b_1327
