a_8047,b_770
a_3179,b_370
a_12034,b_565
a_3061,b_671
a_5386,b_930
a_5966,b_657
a_10754,b_1356
a_594,b_1271
a_10737,b_221
a_442,b_277
a_7641,b_1186
a_4490,b_437
a_10926,b_528
a_5359,b_696
a_2642,b_651
a_2802,b_1240
a_11766,b_101
a_4436,b_662
a_11558,b_881
a_12157,b_1072
a_7473,b_571
a_5258,b_5
a_405,b_1277
a_6576,b_127
a_10201,b_1461
a_5821,b_1136
a_8305,b_1438
a_6973,b_1012
a_2293,b_1013
a_6514,b_888
a_7869,b_133
a_5038,b_856
a_8715,b_1137
a_58,b_504
a_1911,b_544
a_2844,b_939
a_516,b_335
a_5305,b_1551
a_3363,b_1012
a_4905,b_520
a_7065,b_272
a_5668,b_445
a_4903,b_747
a_11253,b_354
a_873,b_286
a_2053,b_1176
a_1133,b_355
a_4571,b_1056
a_3434,b_616
a_2862,b_1424
a_6284,b_732
a_9622,b_47
a_8927,b_243
a_7607,b_843
a_3597,b_1204
a_3608,b_1336
a_6796,b_1065
a_8710,b_1266
a_811,b_1036
a_10981,b_778
a_3291,b_435
a_5233,b_901
a_8883,b_1180
a_10438,b_973
a_10154,b_1428
a_1870,b_665
a_3876,b_665
a_6367,b_778
a_11670,b_1411
a_9715,b_856
a_3850,b_1135
a_5126,b_835
a_10862,b_399
a_5175,b_1403
a_10617,b_1542
a_4246,b_410
a_9857,b_1423
a_8989,b_125
a_6938,b_1053
a_528,b_1127
a_10288,b_1177
a_5763,b_42
a_4671,b_328
a_6021,b_738
a_11062,b_254
a_2767,b_877
a_2491,b_1070
a_12081,b_95
a_9654,b_279
a_10468,b_925
a_5042,b_1393
a_2028,b_99
a_2182,b_1463
a_4694,b_1205
a_941,b_515
a_758,b_157
a_6723,b_988
a_6162,b_245
a_3134,b_754
a_10176,b_1271
a_11695,b_594
a_3270,b_141
a_8041,b_413
a_5286,b_567
a_4848,b_811
a_1178,b_1170
a_11009,b_54
a_353,b_1455
a_9602,b_1268
a_2952,b_224
a_5108,b_81
a_10527,b_985
a_10806,b_797
a_6879,b_1319
a_9038,b_830
a_2830,b_567
a_4504,b_1488
a_2848,b_1362
a_2197,b_430
a_3004,b_111
a_9413,b_1351
a_5255,b_471
a_3297,b_1341
a_7442,b_516
a_11127,b_1039
a_11985,b_478
a_7000,b_297
a_1419,b_637
a_10831,b_33
a_2101,b_1176
a_1399,b_1128
a_11119,b_789
a_8761,b_1460
a_3695,b_604
a_4631,b_438
a_10158,b_190
a_11244,b_780
a_2442,b_391
a_74,b_381
a_9202,b_815
a_8637,b_210
a_2389,b_489
a_9943,b_300
a_6760,b_815
a_11863,b_292
a_10198,b_1527
a_2701,b_1386
a_2495,b_1311
a_1646,b_286
a_4905,b_1405
a_5634,b_955
a_12116,b_83
a_11071,b_88
a_855,b_1365
a_9663,b_66
a_5597,b_548
a_4418,b_956
a_9552,b_1327
a_592,b_1317
a_6032,b_979
a_7462,b_1202
a_2819,b_1453
a_7703,b_0
a_736,b_1253
a_2634,b_473
a_5786,b_815
a_5446,b_96
a_4692,b_1218
a_7242,b_550
a_3897,b_19
a_10161,b_1228
a_2561,b_996
a_11225,b_807
a_2310,b_1321
a_12163,b_953
a_2025,b_246
a_9124,b_575
a_2684,b_1276
a_10683,b_550
a_1173,b_688
a_4977,b_1434
a_6288,b_1342
a_8957,b_836
a_5201,b_1318
a_373,b_1216
a_1750,b_217
a_5820,b_557
a_6141,b_349
a_5669,b_164
a_1285,b_1177
a_7466,b_1540
a_8343,b_43
a_1910,b_480
a_1877,b_1196
a_6412,b_1127
a_9189,b_639
a_5184,b_296
a_2489,b_1069
a_9418,b_1383
a_8260,b_700
a_10447,b_1347
a_11473,b_424
a_6677,b_263
a_6783,b_1530
a_11056,b_534
a_9090,b_781
a_5721,b_128
a_10775,b_29
a_4208,b_382
a_499,b_409
a_1524,b_868
a_1710,b_931
a_9770,b_95
a_11563,b_740
a_3643,b_893
a_10129,b_567
a_9234,b_1270
a_10933,b_304
a_4094,b_832
a_1705,b_1173
a_8573,b_1307
a_5562,b_1287
a_12176,b_1434
a_9150,b_1216
a_2447,b_1439
a_3020,b_1424
a_10721,b_1168
a_11795,b_745
a_3243,b_409
a_2874,b_1415
a_3063,b_298
a_8428,b_1432
a_11378,b_598
a_9706,b_1331
a_3543,b_325
a_5930,b_1167
a_11963,b_612
a_8469,b_620
a_4976,b_113
a_7772,b_128
a_4268,b_1008
a_12160,b_204
a_3627,b_1298
a_5494,b_1144
a_11886,b_534
a_5455,b_557
a_753,b_926
a_1878,b_559
a_9283,b_74
a_8785,b_1522
a_918,b_637
a_10173,b_394
a_10594,b_904
a_5527,b_571
a_5483,b_1195
a_11994,b_635
a_6198,b_19
a_6838,b_1175
a_7723,b_179
a_9657,b_704
a_1504,b_969
a_365,b_1500
a_11385,b_509
a_2267,b_1137
a_3384,b_120
a_6563,b_330
a_10266,b_509
a_10164,b_815
a_5399,b_882
a_7514,b_1240
a_985,b_698
a_11245,b_237
a_11805,b_509
a_12159,b_157
a_2154,b_221
a_2095,b_1398
a_7833,b_995
a_964,b_1271
a_1957,b_1051
a_3658,b_1461
a_3882,b_1472
a_9145,b_288
a_12003,b_1164
a_9533,b_1019
a_136,b_1141
a_1244,b_1498
a_7803,b_1166
a_1402,b_808
a_7747,b_1506
a_10205,b_770
a_2663,b_1486
a_4865,b_872
a_11687,b_1081
a_9960,b_652
a_3697,b_37
a_11218,b_789
a_3424,b_1303
a_7441,b_89
a_279,b_1496
a_25,b_1169
a_2159,b_1379
a_5817,b_654
a_7849,b_1262
a_11887,b_796
a_5768,b_226
a_7548,b_320
a_4694,b_962
a_9542,b_465
a_4419,b_1015
a_5601,b_905
a_8354,b_354
a_6639,b_1426
a_5087,b_681
a_10590,b_547
a_10877,b_569
a_5913,b_636
a_10424,b_644
a_10998,b_862
a_1586,b_114
a_4671,b_780
a_10486,b_1171
a_11288,b_697
a_6844,b_1254
a_11462,b_450
a_3422,b_48
a_9211,b_1481
a_193,b_1345
a_5911,b_1325
a_11165,b_837
a_9682,b_1314
a_3580,b_1050
a_2067,b_1203
a_9840,b_14
a_10419,b_393
a_2138,b_242
a_4378,b_1382
a_3266,b_1345
a_10744,b_1215
a_8619,b_569
a_2827,b_44
a_1529,b_1359
a_5792,b_1359
a_6106,b_537
a_1864,b_940
a_6760,b_453
a_3610,b_323
a_5637,b_782
a_11884,b_689
a_7509,b_1107
a_6165,b_1037
a_3464,b_1156
a_10317,b_660
a_2682,b_175
a_3747,b_784
a_686,b_869
a_1902,b_44
a_8268,b_118
a_2536,b_621
a_6485,b_1154
a_5249,b_640
a_7676,b_942
a_2600,b_888
a_309,b_1202
a_10014,b_1236
a_5487,b_384
a_1966,b_1029
a_11876,b_202
a_1480,b_461
a_7377,b_1312
a_6993,b_1143
a_3662,b_538
a_12130,b_1325
a_11305,b_616
a_3959,b_165
a_7802,b_1290
a_8868,b_1187
a_869,b_1268
a_2803,b_407
a_11310,b_1389
a_6735,b_1063
a_8606,b_1008
a_5557,b_758
a_11834,b_753
a_745,b_299
a_6693,b_1306
a_2069,b_1193
a_3972,b_708
a_10918,b_872
a_5599,b_533
a_1178,b_81
a_5356,b_1036
a_9304,b_1094
a_8102,b_1398
a_3362,b_1075
a_779,b_420
a_2460,b_585
a_6712,b_1464
a_4059,b_875
a_7975,b_1552
a_2041,b_141
a_3271,b_974
a_896,b_472
a_1330,b_1418
a_9161,b_559
a_3776,b_1460
a_4125,b_1234
a_6354,b_279
a_8168,b_1374
a_1011,b_1497
a_6459,b_913
a_12179,b_561
a_4320,b_118
a_5715,b_1250
a_10663,b_1190
a_10859,b_1554
a_959,b_141
a_7878,b_1531
a_10598,b_1174
a_11399,b_139
a_4337,b_32
a_4520,b_655
a_9842,b_623
a_4845,b_1277
a_8754,b_1009
a_2131,b_773
a_3503,b_185
a_6021,b_1215
a_11909,b_915
a_4727,b_848
a_6476,b_1249
a_10502,b_1459
a_2141,b_302
a_6802,b_905
a_8994,b_1124
a_143,b_118
a_4292,b_421
a_8527,b_600
a_334,b_212
a_4893,b_598
a_4873,b_1534
a_4036,b_1099
a_1791,b_1238
a_8184,b_1450
a_8895,b_1072
a_2175,b_784
a_4253,b_931
a_9194,b_1370
a_6387,b_498
a_1235,b_108
a_7179,b_194
a_2852,b_514
a_1035,b_828
a_9411,b_407
a_3067,b_1224
a_3340,b_323
a_2344,b_1539
a_4118,b_30
a_6609,b_722
a_6276,b_1554
a_2218,b_1391
a_9174,b_643
a_11369,b_213
a_10158,b_726
a_2375,b_412
a_9195,b_1236
a_2621,b_945
a_11480,b_513
a_9465,b_395
a_3223,b_1529
a_9060,b_1187
a_2991,b_1292
a_1013,b_1294
a_6559,b_191
a_6157,b_427
a_8778,b_541
a_9596,b_236
a_9896,b_1194
a_10431,b_294
a_10841,b_890
a_481,b_158
a_5531,b_1535
a_10258,b_1175
a_11119,b_741
a_10419,b_19
a_7209,b_685
a_689,b_682
a_3858,b_791
a_9492,b_47
a_2513,b_1411
a_1184,b_672
a_3263,b_1133
a_8276,b_1382
a_8091,b_1062
a_3041,b_1533
a_7748,b_669
a_10034,b_591
a_10676,b_988
