a_4998,b_415
a_2865,b_1348
a_12078,b_221
a_7534,b_624
a_11636,b_513
a_9451,b_331
a_9706,b_1493
a_6555,b_676
a_7344,b_128
a_10800,b_1557
a_2175,b_1204
a_6048,b_1089
a_9140,b_1300
a_11970,b_1175
a_2662,b_40
a_11586,b_673
a_11638,b_526
a_575,b_1107
a_5128,b_1009
a_5015,b_1151
a_11119,b_1088
a_2893,b_443
a_6149,b_112
a_4930,b_996
a_2960,b_1464
a_4016,b_452
a_8447,b_227
a_37,b_1348
a_3852,b_190
a_6096,b_679
a_7446,b_669
a_5679,b_781
a_2254,b_1133
a_11375,b_592
a_8787,b_357
a_9830,b_1295
a_2918,b_467
a_3114,b_636
a_10988,b_1036
a_2495,b_705
a_1499,b_877
a_6756,b_222
a_2541,b_925
a_662,b_282
a_9247,b_203
a_7862,b_348
a_2390,b_1209
a_11892,b_1204
a_9308,b_195
a_10406,b_1312
a_916,b_490
a_8579,b_77
a_2114,b_55
a_6687,b_779
a_5511,b_1169
a_8099,b_1502
a_1741,b_963
a_4529,b_367
a_8696,b_156
a_942,b_513
a_9700,b_1399
a_10512,b_1179
a_3890,b_1000
a_3243,b_353
a_11223,b_715
a_5290,b_217
a_5175,b_46
a_6031,b_616
a_3421,b_551
a_1035,b_424
a_6432,b_410
a_9176,b_1412
a_3135,b_129
a_7839,b_1213
a_5492,b_312
a_1356,b_1176
a_9226,b_1285
a_7270,b_166
a_9417,b_293
a_1136,b_814
a_3831,b_1001
a_10689,b_1177
a_3383,b_777
a_10951,b_1505
a_10853,b_97
a_8053,b_228
a_6081,b_604
a_3021,b_84
a_8925,b_1048
a_11361,b_1108
a_9575,b_381
a_3806,b_1370
a_5994,b_250
a_9419,b_1372
a_10881,b_1355
a_11391,b_338
a_7093,b_8
a_8854,b_1379
a_5457,b_635
a_3684,b_721
a_1797,b_1272
a_1050,b_1123
a_4884,b_859
a_10730,b_546
a_939,b_124
a_6664,b_505
a_3697,b_902
a_5541,b_1502
a_11174,b_253
a_72,b_1065
a_6556,b_464
a_3998,b_247
a_10378,b_1003
a_7733,b_354
a_7830,b_1396
a_8946,b_1226
a_11039,b_1383
a_4928,b_970
a_1575,b_1461
a_6676,b_1083
a_6869,b_139
a_7809,b_320
a_10037,b_147
a_4951,b_867
a_10180,b_642
a_11954,b_1137
a_5795,b_782
a_1420,b_842
a_9421,b_276
a_2276,b_1276
a_3693,b_805
a_265,b_284
a_6559,b_633
a_10444,b_1056
a_1591,b_18
a_5718,b_609
a_7977,b_901
a_6253,b_1365
a_1817,b_447
a_7466,b_1256
a_8969,b_305
a_2657,b_665
a_8028,b_618
a_7978,b_661
a_6047,b_895
a_1060,b_198
a_7500,b_1417
a_8010,b_582
a_8664,b_890
a_7223,b_993
a_432,b_1135
a_7336,b_885
a_11281,b_607
a_2041,b_508
a_6149,b_627
a_900,b_1278
a_5862,b_618
a_11233,b_472
a_6507,b_948
a_2521,b_908
a_9936,b_561
a_8284,b_827
a_11962,b_1362
a_10441,b_291
a_6089,b_272
a_6631,b_555
a_719,b_901
a_1398,b_1055
a_7820,b_886
a_478,b_598
a_7188,b_1285
a_6358,b_1372
a_748,b_705
a_8260,b_892
a_9955,b_1059
a_7875,b_564
a_11712,b_677
a_2768,b_1482
a_9250,b_901
a_2660,b_1526
a_10818,b_1513
a_9453,b_1170
a_7480,b_1000
a_8085,b_368
a_8140,b_379
a_3998,b_1353
a_462,b_1330
a_2509,b_231
a_11549,b_634
a_3116,b_928
a_8187,b_405
a_5864,b_756
a_11751,b_850
a_10594,b_188
a_9951,b_235
a_5944,b_799
a_10844,b_656
a_2842,b_642
a_3315,b_136
a_5251,b_126
a_7097,b_1232
a_5924,b_1251
a_6555,b_250
a_8660,b_1350
a_3974,b_677
a_8660,b_1389
a_11452,b_218
a_5917,b_1495
a_1666,b_42
a_11903,b_992
a_37,b_313
a_5009,b_489
a_8915,b_1491
a_4764,b_1124
a_4151,b_1011
a_10746,b_1270
a_9230,b_1114
a_5404,b_354
a_1111,b_692
a_3117,b_1483
a_5170,b_399
a_171,b_793
a_5958,b_1455
a_1588,b_217
a_11633,b_654
a_12088,b_1353
a_5684,b_424
a_2036,b_1493
a_6995,b_1041
a_11656,b_1512
a_11581,b_1044
a_7724,b_173
a_5697,b_273
a_8760,b_1064
a_432,b_199
a_897,b_1257
a_9330,b_337
a_519,b_754
a_5787,b_1165
a_6659,b_1543
a_4357,b_902
a_600,b_1147
a_10149,b_1498
a_11579,b_614
a_11961,b_1389
a_4829,b_240
a_11445,b_614
a_5621,b_43
a_7897,b_171
a_5745,b_935
a_4098,b_749
a_7572,b_275
a_9117,b_30
a_3423,b_998
a_8040,b_429
a_4359,b_106
a_7620,b_1258
a_2999,b_991
a_9637,b_1236
a_221,b_1343
a_10231,b_82
a_5871,b_897
a_6003,b_1448
a_6860,b_445
a_6316,b_714
a_1413,b_1235
a_7317,b_180
a_3649,b_909
a_2741,b_1391
a_7851,b_1015
a_8525,b_17
a_10214,b_957
a_2307,b_645
a_4601,b_1529
a_52,b_1219
a_3644,b_1254
a_8169,b_651
a_2856,b_627
a_2909,b_1358
a_1596,b_635
a_803,b_1121
a_6767,b_663
a_5192,b_852
a_6003,b_242
a_11029,b_579
a_11958,b_259
a_6122,b_1506
a_8879,b_815
a_11578,b_791
a_8742,b_766
a_4305,b_898
a_10769,b_727
a_11688,b_197
a_11148,b_329
a_5752,b_648
a_5146,b_1398
a_138,b_160
a_3439,b_1288
a_3028,b_7
a_1895,b_821
a_10585,b_1452
a_11020,b_385
a_2277,b_776
a_10840,b_1426
a_4069,b_827
a_7979,b_911
a_7328,b_221
a_3201,b_377
a_7184,b_449
a_9953,b_119
a_9982,b_628
a_8321,b_328
a_6200,b_1041
a_130,b_788
a_3425,b_1214
a_670,b_1544
a_9887,b_988
a_8877,b_1365
a_324,b_1317
a_8005,b_240
a_5298,b_104
a_9079,b_1500
a_7719,b_238
a_10302,b_347
a_5831,b_712
a_11231,b_149
a_11739,b_75
a_5905,b_1469
a_833,b_54
a_6691,b_1321
a_11913,b_1466
a_279,b_234
a_6652,b_1518
a_2466,b_870
a_4010,b_475
a_9806,b_323
a_3314,b_389
a_9594,b_1108
a_2463,b_1034
a_11007,b_1427
a_250,b_118
a_10072,b_938
a_7418,b_676
a_6779,b_900
a_560,b_1060
a_5345,b_606
a_4029,b_1151
a_4240,b_35
a_8619,b_1189
a_5735,b_1259
a_5045,b_1314
a_1076,b_850
a_11658,b_453
a_1940,b_51
a_11101,b_1135
a_2851,b_234
a_8987,b_200
a_409,b_1468
a_11894,b_208
a_3323,b_1227
a_9178,b_1026
a_7507,b_644
a_889,b_509
a_8637,b_1279
a_6850,b_973
a_619,b_1242
a_9390,b_530
a_4569,b_1409
a_6002,b_990
a_9270,b_62
a_5610,b_1410
a_1107,b_881
a_1752,b_901
a_1128,b_1516
a_1068,b_266
a_1915,b_124
a_5184,b_10
a_4711,b_877
a_11081,b_166
a_11680,b_1013
a_4080,b_696
a_6389,b_1422
a_6009,b_675
a_2369,b_1508
a_4943,b_305
a_8726,b_1000
a_7992,b_301
a_10722,b_270
a_6601,b_991
a_881,b_578
a_2994,b_1252
a_4471,b_67
a_7961,b_1103
a_4611,b_840
a_8372,b_732
a_7499,b_976
a_7367,b_640
a_5869,b_1366
a_5391,b_1457
a_2249,b_436
a_11250,b_3
a_8336,b_578
a_5439,b_1246
a_4955,b_1559
a_11594,b_1151
a_6492,b_455
a_6124,b_772
a_9549,b_443
a_1470,b_1492
a_9737,b_1222
a_242,b_1123
a_7657,b_616
a_284,b_1260
a_7228,b_1541
a_2442,b_527
a_5046,b_363
a_9467,b_362
a_657,b_317
a_9695,b_1377
a_656,b_202
a_4697,b_528
a_10071,b_425
a_4837,b_1160
a_11676,b_805
a_9679,b_965
a_3432,b_332
a_9363,b_15
a_11480,b_752
a_1162,b_157
a_3561,b_294
a_4491,b_290
a_9916,b_1074
a_11823,b_18
a_312,b_358
a_3350,b_1318
a_11682,b_474
a_8496,b_268
a_7042,b_397
a_2334,b_76
a_8374,b_819
a_11739,b_872
a_3874,b_691
a_9597,b_1045
a_9194,b_1504
a_10592,b_551
a_6511,b_753
a_3509,b_844
a_319,b_173
a_5704,b_1308
a_7123,b_1198
a_476,b_462
a_11184,b_301
a_7855,b_1385
a_6613,b_481
a_11402,b_1347
a_6629,b_1316
a_8984,b_390
a_12169,b_493
a_3093,b_1325
a_3264,b_998
a_4398,b_1377
a_9533,b_504
a_7536,b_1349
a_6993,b_1501
